Tech_resid,tech_losses
-0.00799949709546645,0.00799949709546645
3.0978603294583643e-06,-3.0978603294583643e-06
0.00033552387909286784,-0.00033552387909286784
8.135535314513919e-05,-8.135535314513919e-05
0.0003395314752769684,-0.0003395314752769684
3.385108922286477e-05,-3.385108922286477e-05
8.860571329900718e-05,-8.860571329900718e-05
-0.0001386729845175393,0.0001386729845175393
0.00015811638329001139,-0.00015811638329001139
0.0003836129676202336,-0.0003836129676202336
1.621167389496576e-05,-1.621167389496576e-05
6.37077918950119e-05,-6.37077918950119e-05
-2.4074297945880275e-06,2.4074297945880275e-06
8.113266905297869e-05,-8.113266905297869e-05
-0.0001980022729795438,0.0001980022729795438
0.00047766837270316157,-0.00047766837270316157
-0.00012479327427344477,0.00012479327427344477
3.1807286456479904e-05,-3.1807286456479904e-05
8.659619456433298e-05,-8.659619456433298e-05
-0.00027555907993927095,0.00027555907993927095
-0.00018176427747303788,0.00018176427747303788
0.00030614835011338263,-0.00030614835011338263
-0.00034536603146968065,0.00034536603146968065
-0.00024053784353364802,0.00024053784353364802
0.00034940484318286933,-0.00034940484318286933
-0.0001623967133339641,0.0001623967133339641
-0.0002089197375679476,0.0002089197375679476
8.606485549390161e-05,-8.606485549390161e-05
0.0008227494837974737,-0.0008227494837974737
-6.136054879089488e-05,6.136054879089488e-05
0.0002396014800557478,-0.0002396014800557478
-0.0001331518736512569,0.0001331518736512569
4.011468862777805e-05,-4.011468862777805e-05
0.0003628322118322477,-0.0003628322118322477
-6.611246497948613e-05,6.611246497948613e-05
-0.0001780948362035045,0.0001780948362035045
8.920701401856325e-05,-8.920701401856325e-05
0.00041161915389990926,-0.00041161915389990926
-0.0001787473446296486,0.0001787473446296486
-5.1204523024863246e-05,5.1204523024863246e-05
9.382830422240552e-05,-9.382830422240552e-05
-0.00017648820829583724,0.00017648820829583724
0.0001519287225569115,-0.0001519287225569115
-0.00015022625871316466,0.00015022625871316466
-0.00023770634806680624,0.00023770634806680624
-9.981418576411719e-05,9.981418576411719e-05
-0.00010829620424385621,0.00010829620424385621
-5.922041210776281e-05,5.922041210776281e-05
-0.0002751526468076093,0.0002751526468076093
0.00011997450052213322,-0.00011997450052213322
5.107853187476239e-05,-5.107853187476239e-05
8.680372310637223e-05,-8.680372310637223e-05
-5.391742755074084e-05,5.391742755074084e-05
-9.443071008556229e-05,9.443071008556229e-05
2.515916498804359e-05,-2.515916498804359e-05
9.665685442105573e-05,-9.665685442105573e-05
5.4428900845582756e-05,-5.4428900845582756e-05
-0.0003176628391558901,0.0003176628391558901
